FOOD,,,,,,,,,,,,
DATE,COMPANY,DESCRIPTION,SUBTOTAL,HST,TOTAL,NECCESARY,,,NECCESARY,,UNNECESARY,
JANUARY,,,,,,,,,TAX,110.47,TAX,128.58
Jan 07,ATLANTIC SUPERSTORE,GROCERIES,17.52,2.63,20.15,YES,,,MONEY,846.90,MONEY,985.75
Jan 13,ATLANTIC SUPERSTORE,EGGS & WAFFLES,17.91,2.69,20.60,YES,,,,NECCESARY,UNNECESARY,
Jan 16,BAR BURRITO,BURRITO,29.98,4.50,34.48,NO,,,JANUARY,177.18,3.00,
Jan 23,ATLANTIC SUPERSTORE,SUSHI,22.43,3.37,25.80,YES,,,FEBRUARY,184.46,6.00,
Jan 27,EAT SIDE MARIOS,LUNCH WITH EVERYONE,55.97,8.40,64.37,YES,,,MARCH,532.51,12.00,
Jan 28,TIM HORTONS,LUNCH ,10.24,1.54,11.78,NO,,,APRIL,418.33,24.00,
FEBRUARY,,,,,,,,,MAY,460.81,48.00,
Feb 03,SOBEYS,GROCERIES,18.46,2.77,21.23,YES,,,JUNE,59.36,96.00,
Feb 08,SUPERSTORE,SALAD & COOKED CHIKEN,33.04,4.96,38.00,YES,,,JULY,0,11.00,
Feb 15,TIM HORTONS,BREAKFAST,12.16,1.82,13.98,NO,,,AUGUST,0,12.00,
Feb 18,SOBEYS,OATMEAL & BLACKBERRIES,5.93,0.89,6.82,YES,,,SEPTEMBER,0,0.00,
Feb 22,SOBEYS,GROCERIES,46.84,7.03,53.87,YES,,,OCTOBER,0,0.00,
Feb 24,BAR BURRITO,BURRITO,15.99,2.40,18.39,NO,,,NOVEMBER,0,10.00,
Feb 24,TIM HORTONS,COFFEE,1.99,0.30,2.29,NO,,,DECEMBER,0,100,
Feb 26,DOMINOS PIZZA,PIZZA FOR THE GIRLS (SAMHIRAH SICK),25.98,3.90,29.88,NO,,,,,,
MARCH,,,,,,,,,,,,
Mar 01,JACKS PIZZA,AFTER PARTY PIZZA,8.04,1.21,9.25,NO,,,,,,
Mar 01,ATLANTIC SUPERSOTRE,GROCERIES FOR FAMILY,38.59,5.79,44.38,YES,,,,,,
Mar 05,CASA LATINA,LUNCH @ ST JOHN W FRIENDS,15.60,2.34,17.94,YES,,,,,,
Mar 05,STARBUCKS,COFFE FOR THE ROAD,6.75,1.01,7.76,NO,,,,,,
Mar 05,WALMART,GROCERIES,9.77,1.46,11.23,YES,,,,,,
Mar 07,SOBEYS,GROCERIES,37.33,5.60,42.93,YES,,,,,,
Mar 08,TIM HORTONS,COFFEE FOR VAL AND SAHAMIRA,10.47,1.57,12.04,NO,,,,,,
Mar 11,PIZZA PIZZA,"PIZZA W VAL, MELL & CARLA",24.68,3.70,28.38,NO,,,,,,
Mar 12,BAR BURRITO,BURRITO FOR ME & VAL,29.98,4.50,34.48,NO,,,,,,
Mar 12,SOBEYS,SUSHI,25.65,3.85,29.50,NO,,,,,,
Mar 13,SOBEYS,GROCERIES,9.47,1.42,10.89,YES,,,,,,
Mar 14,DOLLARMA,CANDY (THEY WOULND'T BUY ME A DAMN CANDY),0.91,0.14,1.05,NO,,,,,,
Mar 15,SOBEYS,WASTED SUSHI W JUAN,19.00,2.85,21.85,NO,,,,,,
Mar 17,SUPERSTORE,GROCERIES,64.97,9.75,74.72,YES,,,,,,
Mar 17,E-TRANSFER,CARLA BOUGHT TIMS,8.70,1.30,10.00,NO,,,,,,
Mar 18,SOBEYS,JUAN WANTED SOMETHING,5.39,0.81,6.20,NO,,,,,,
Mar 19,TIM HORTONS,BOUGHT VAL LUNCH,12.98,1.95,14.93,NO,,,,,,
Mar 20,DOMINOS PIZZA,"PIZZA WITH ETHAN, VAL & SAHAMIRA",21.98,3.30,25.28,NO,,,,,,
Mar 21,TIM HORTONS,LUNCH,11.08,1.66,12.74,NO,,,,,,
Mar 25,WALMART,GROCERIES,10.97,1.65,12.62,YES,,,,,,
Mar 25,WALMART,GROCERIES FOR SAHAMIRA,9.71,1.46,11.17,NO,,,,,,
Mar 29,WALMART,GROCERIES,14.94,2.24,17.18,YES,,,,,,
Mar 31,SUPERSTORE,GROCERIES,66.08,9.91,75.99,YES,,,,,,
APRIL,,,,,,,,,,,,
Apr 01,SOBEYS,GROCERIES,8.55,1.28,9.83,YES,,,,,,
Apr 03,TIM HORTONS,LUNCH FOR LADIES & ME,15.24,2.29,17.53,NO,,,,,,
Apr 04,WALMART,GROCERIES,13.23,1.98,15.21,YES,,,,,,
Apr 07,MACDONALDS,HAPPY MEAL FOR VAL :(,10.68,1.60,12.28,NO,,,,,,
Apr 04,WALMART,GROCERIES,38.84,5.83,44.67,YES,,,,,,
Apr 09,TIM HORTONS,"COFFEE (STUDIED W VAL, SAHAMAIRA & EDWARD)",2.00,0.30,2.30,NO,,,,,,
Apr 10,TIM HORTONS,COFFEE (STUDIED W VAL),2.99,0.45,3.44,NO,,,,,,
Apr 12,WALMART,GROCERIES,54.06,8.11,62.17,YES,,,,,,
Apr 12,BAR BURRITO,BURRITO,32.98,4.95,37.93,NO,,,,,,
Apr 14,TIM HORTONS,COFFEE,2.69,0.40,3.09,NO,,,,,,
Apr 17,SOBEYS,SNANKS FOR GETOGETHER,3.59,0.54,4.13,NO,,,,,,
Apr 21,TIM HORTONS,LATE NIGHT STUDYING,9.79,1.47,11.26,NO,,,,,,
Apr 21,TIM HORTONS,LATE NIGHT STUDYING,3.79,0.57,4.36,NO,,,,,,
Apr 22,WALMART,GROCERIES,15.92,2.39,18.31,YES,,,,,,
Apr 24,SUPERSTORE,YOGURT EGGS & MILK,21.17,3.17,24.34,YES,,,,,,
Apr 24,MCDONALDS,HAPPY MEAL FOR VAL :( (SHE STAYED OVER :) ),19.28,2.89,22.17,NO,,,,,,
Apr 24,DOMINOS,PIZZA FOR MOVIE ( THE BLAIR WITCH),20.07,3.01,23.08,NO,,,,,,
Apr 25,TIM HORTONS,FOOD FOR VAL (WALKED IN THE PARK),16.90,2.54,19.44,NO,,,,,,
Apr 26,SUPERSTORE,GROCERIES,23.42,3.51,26.93,YES,,,,,,
Apr 28,WALMART,YOGURT FOR GRANOLA,18.07,2.71,20.78,YES,,,,,,
Apr 28,DOLLARAMA,PAPER CLIPS,3.68,0.55,4.23,NO,,,,,,
Apr 29,WALMART,SUSHI (HELPED VAL MOVE OUT),17.27,2.59,19.86,NO,,,,,,
Apr 29,MACDONALDS,HAPPY MEAL FOR VAL,9.56,1.43,10.99,NO,,,,,,
MAY,,,,,,,,,,,,
May 01,TIM HORTONS,TOOK JUAN TO THE AIRPORT,20.47,3.07,23.54,NO,,,,,,
May 02,WALMART,GROCERIES,36.41,5.46,41.87,YES,,,,,,
May 03,SPOON SUSHI,INVITED VAL,78.13,11.72,89.85,NO,,,,,,
May 05,MACDONALDS,LAST HAPPY MEAL FOR VAL,9.38,1.41,10.79,NO,,,,,,
May 05,TAKE SUSHI,SUSHI FOR VAL & FAM,54.95,8.24,63.19,NO,,,,,,
May 05,HIGHMART STORE,DRUNK NOODLES,7.82,1.17,8.99,NO,,,,,,
May 06,TIM HORTONS,ICED COFFE B4 LEAVING :(,4.49,0.67,5.16,NO,,,,,,
May 06,SUPERSTORE,GROCERIES,20.93,3.14,24.07,YES,,,,,,
May 22,TIM HORTONS,CHEESE BAGEL @ AIRPORT,5.97,0.89,6.86,NO,,,,,,
May 23,MACDONALDS,FOOD FOR HOMIES,51.53,7.73,59.26,NO,,,,,,
May 26,TIM HORTONS,COFFEE,3.46,0.52,3.98,NO,,,,,,
May 26,MACDONALDS,FOOD FOR HOMIES,10.58,1.59,12.17,NO,,,,,,
May 29,A&W,ONROUTE FOOD FOR NICK & GRANDMA,42.03,6.30,48.33,YES,,,,,,
May 29,KRISPY CREAM,DONUTS,13.91,2.09,16.00,NO,,,,,,
May 30,COMAL Y CANELA,BEST BURRITO,27.52,4.13,31.65,NO,,,,,,
May 31,CINNABON,CINNABON ROLL FOR JUAN & ME,13.13,1.97,15.10,NO,,,,,,
JUNE,,,,,,,,,,,,
Jun 01,PUPUSERIA ROSA,LUNCH W SAM AFTER CHURCH,28.99,4.35,33.34,NO,,,,,,
Jun 01,CRABBY JOES ,QUESADILLAS,11.18,1.68,12.86,NO,,,,,,
Jun 02,SHAW'S ICECREAM,ICECREAM,5.64,0.85,6.49,NO,,,,,,
Jun 02,MENNOMEX,COCA-COLAS,5.80,0.87,6.67,NO,,,,,,
Jun 03,SUBWAY,SANWICH BEFORE BEACH,9.52,1.43,10.95,NO,,,,,,
Jun 03,BURRITO BOYZ,"FOOD FOR JUAN,ASHLEY & ME",44.14,6.62,50.76,NO,,,,,,
Jun 04,CHICK-FILL-A,FOOD W MEGA AND REI,13.06,1.96,15.02,NO,,,,,,
Jun 05,DOMINOS PIZZA,PIZZA @ SLEEPOVER W NICK,60.81,9.12,69.93,NO,,,,,,
Jun 09,FARM BOY,CHICKEN (LUNCH W JUAN A),25.53,3.83,29.36,NO,,,,,,
